NOME_MUNICIPIO,CODIGO,GENTILICO,PREFEITO2017,AREA,POPESTIMADA,DENSIDADE,ESCOLARIZACAO,IDHM,MORTALIDADE,RECEITAS,DESPESAS,PIB
Lucas do Rio Verde,5105259,luquense,FLORI LUIZ BINOTTI,3675.221,63411,12.43,97.5,0.768,14.13,253806.92348,211260.52069,62202.25
Luciara,5105309,luciarense,FAUSTO AQUINO DE AZAMBUJA FILHO,4243.028,2099,0.52,98,0.676,33.33,13388.96003,11237.44501,13808.95
Vila Bela da Santíssima Trindade,5105507,vila-belense,WAGNER VICENTE DA SILVEIRA,13420.436,15983,1.08,93.9,0.645,21.20,65850.17206,55863.73845,27536.04
Marcelândia,5105580,marcelandense,ARNÓBIO VIEIRA DE ANDRADE,12273.552,10700,0.98,98.3,0.701,10.10,41007.48628,32797.59722,25172.86
Matupá,5105606,matupaense,VALTER MIOTTO FERREIRA,5219.025,16334,2.71,98.6,0.716,15.87,59633.91688,50932.72538,39015.20
Mirassol d'Oeste,5105622,miradolense,EUCLIDES DA SILVA PAIXÃO,1080.144,27536,23.50,96.6,0.704,9.80,64031.62733,55667.02089,23061.55
Nobres,5105903,nobrense,LEOCIR HANEL,3911.850,15338,3.85,97.8,0.699,11.24,56299.8384,45238.13077,35667.87
Nortelândia,5106000,nortelandense,JOSSIMAR JOSÉ FERNANDES,1353.604,6056,4.77,96.9,0.702,10.64,22510.42044,18692.86346,19405.78
Nossa Senhora do Livramento,5106109,livramentense,SILMAR DE SOUZA GONÇALVES,5439.889,13231,2.29,95.5,0.638,8.13,37686.41822,32899.35694,17131.56
Nova Bandeirantes,5106158,nova bandeirantense,VALDIR PEREIRA DOS SANTOS,9593.268,14909,1.21,93.8,0.650,18.99,38590.68248,33975.74151,13515.26
Nova Nazaré,5106174,nova-nazareense,JOAO TEODORO FILHO,4037.501,3765,0.75,66.3,0.595,39.60,23091.24439,18261.28123,17045.86
Nova Lacerda,5106182,novo-lacerdenses,UILSON JOSE DA SILVA,4793.173,6526,1.15,93,0.636,31.91,27721.62252,22274.90119,26820.22
Nova Santa Helena,5106190,nova-santa-helenense,TEREZINHA GUEDES CARRARA,2375.578,3699,1.47,97.9,0.714,20.00,21742.79508,18574.65016,36942.35
Nova Brasilândia,5106208,brasilandense,MAURIZA AUGUSTA DE OLIVEIRA,3278.861,3928,1.40,95.4,0.651,38.46,21159.78535,18305.69779,19047.64
Nova Canaã do Norte,5106216,canaense,RUBENS ROBERTO ROSA,5955.408,12739,2.03,97.9,0.686,13.16,47220.45709,36057.53177,29564.82
